job title,company name,location,timetype_Skills
Guest Relation Officer,InterContinental Hotels Group Aggregated -,"Doha, Qatar ",Full TimeNot specified · Administration · Customer Service/Support · Marketing/PR/Advertising · Customer Service · Customer Care · Customer Support · Administration · Guest Relations · Public Relations (PR) · Microsoft Office
,,,
Customer Service Representative - Vodafone UK - (Alexandria/Cairo/Remote),_VOIS Egypt -,"6th of October, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Call Center · Technical Support · Customer Satisfaction · Time Management · Career Development
,,,
Customer Service Representative - Vodafone Ireland- (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
HR Shared Services Team Leader,Al Futtaim Group Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · Human Resources · Operations/Management · Customer Service · Customer Support · Customer Care · Call Center · Management · English · Communication Skills
,,,
Customer Service Assistant,Al Futtaim Group Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Microsoft Office · Communication Skills · Sales
,,,
International Customer Support Advisor.,Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Customer Service · Customer Support · Customer Care · Call Center · English · Communication Skills · MS Office
,,,
Sales Team Leader,Roots Development -,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 3 - 5 Yrs of Exp · Business Development · Operations/Management · Sales/Retail · Customer Service · English · Real Estate · sales skills · Sales · Sales Target · Primary Sales
,,,
Customer Service,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Support · Customer Care · Customer Relations · Custom Clearance · Customs Clearance · Customer Satisfaction · Customer Retention · Customer Operations Performance Centre
,,,
Customer Happiness Agent (Contract),Nathan & Nathan -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · English · Sales
,,,
English Customer Specialist - Premium,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Support · Customer Care · Customer Relations · Customer Satisfaction · Customer Retention · Customer Operations Performance Centre · Customer Service Management · Customer Experience
,,,
Customer Service & HR Intern (Only female),Imepress Express Parcels Delivery -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Sales · Sales Skills · Sales Target · Call Center
,,,
Customs Specialist,Riyadh Air -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · Logistics/Supply Chain · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Microsoft Office · Sales · Logistics
,,,
Team Leader - Guest Services,City Centre Rotana -,"Doha, Qatar ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Sales Target · Computer Science · Customer Service · Real Estate
,,,
VOIS - Customer Service Agent -Vodafone UK (WFH ) Alexandria residents,_VOIS Egypt -,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Telecommunication · Telecom · wfh
,,,
VOIS - Customer Service Agent -Vodafone UK (Work from Home ),_VOIS Egypt -,"Cairo, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Telecommunication · Telecom · wfh
,,,
English Customer Service - US Account,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Support · Customer Care · Customer Relations · Customer Satisfaction · Customer Retention · Customer Operations Performance Centre · Customer Service Management · Customer Experience
,,,
Team Leader - Front Desk,City Centre Rotana -,"Doha, Qatar ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Sales Target · Computer Science · Customer Service · Real Estate
,,,
Customer Success Manager - Leader,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Care · Customer Support · Management · Sales · Call Center · Sales Skills
,,,
Customer Service Representative,Inno Sphere Solutions -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Sales · Microsoft Office
,,,
Customer Service & HR Intern,Imepress Express Parcels Delivery -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Sales · Sales Skills · Sales Target · Call Center
,,,
Customer Service Agent,Engosoft -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · males_only · Customer Service/Support · Education/Teaching · Customer Care · Communication · Customer Support · excel · English · Microsoft Office · Customer Service · Customer Relations
,,,
Partner Support Advisor,Property Finder Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Sales/Retail · Customer Service · Customer Care · Customer Support · Call Center · Technical Support · Information Technology (IT) · Computer Skills
,,,
Customer Service Representative - Credit,Alghanim Industries Aggregated -,"Kuwait City, Kuwait ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Sales · Microsoft Office
,,,
Services Specialist - Technical Support,Baker Hughes Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Sales/Retail · Customer Service · Customer Support · Customer Care · Sales · Call Center · Microsoft Office · Computer Science
,,,
Customer Support Specialist,almentor.net Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Customer Service · Customer Support · Customer Care · Information Technology (IT) · Computer Science · Technical Support · Call Center
,,,
Travel Consultant,Final Call -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Customer Service/Support · Sales/Retail · Tourism/Travel · Call Center · Galileo · English · gds · Sales · Tourism · Travel
,,,
Telesales Representative,UPGRADE Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Business Development · Customer Service/Support · Sales/Retail · Sales · Customer Service · Sales Skills · Customer Support · Telesales · Customer Care · Sales Target
,,,
International Customer Service Representative CSR UK,_VOIS Egypt -,"Cairo, Egypt ",Full TimeShift BasedWork From HomeEntry Level · Customer Service/Support · Customer Care · Customer Service · Customer Support · Fluency in English · English · Call Center · Vodafone · VOIS · _VOIS
,,,
International Account Advisor Vodafone Ireland- (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
International Account Advisor - Vodafone UK - (Alexandria/Cairo/Remote),_VOIS Egypt -,"6th of October, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Call Center · Technical Support · Customer Satisfaction · Time Management · Career Development
,,,
Customer Support Representative - Travel,Final Call -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · males_only · Customer Service/Support · Amadeus · Call Center · Customer · Customer Care · Customer Service · Customer Support · hotel · English · reservations
,,,
Operations Assistant – Team Leader (Field Support),International Organization for Migration Aggregated -,"Doha, Qatar ",Full TimeNot specified · Customer Service/Support · Logistics/Supply Chain · Operations/Management · Operations · Customer Support · Customer Service · Call Center · Customer Care · Leadership · Management
,,,
Technical Support Specialist,IQVIA Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Technical Support · Computer Science · Customer Service · Customer Support · Customer Care · Engineering
,,,
"Corporate Account (English Department), Etisalat UAE project",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Banking · Customer Service/Support · Sales/Retail · Corporate Sales · Customer Service · Sales · sales skills · Medical · Call Center · English
,,,
Customer Logistics Executive (Temp),Kraft Heinz Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Logistics/Supply Chain · Sales/Retail · Customer Service · Customer Care · Customer Support · Logistics · Supply Chain · Microsoft Office · Sales
,,,
Technical Team Leader,Domo Ventures W.L.L. -,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Computer Science · Sales Target · Customer Service · Real Estate
,,,
Transition Management Analyst,Pepsi Aggregated -,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Project/Program Management · Analyst/Research · Information Technology (IT) · Project Management · Analysis · Computer Science · Management · PMP · Software Development
,,,
Production Quality Specialist - Chemicals,Baker Hughes Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · R&D/Science · Quality · Pharmaceutical · Quality Assurance · Quality Control · Quality · QA · Science · QC · Pharmacy
,,,
Sales Agents (Software Company) New Project..........….,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · Administration · Customer Service/Support · Sales/Retail · Back Office · Webchat · Customer support · Customer service · English · Call Center · Customer Care
,,,
Service Delivery Manager – Wireline Services,Baker Hughes Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Operations/Management · Customer Service · Customer Care · Customer Support · Management · Information Technology (IT) · Computer Science · Microsoft Office
,,,
Customer Service Representative,iSchool Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Sales · Microsoft Office
,,,
Guest Experience Specialist - Front Office - Crowne Plaza® Hotel Dubai Festival City,InterContinental Hotels Group Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Human Resources · Customer Service · Customer Care · Customer Support · Microsoft Office · Computer Skills · Startup · Administration
,,,
Flexible Hours Work From Home - Remote Data Input Agent,Talents Mine Aggregated -,"Cairo, Egypt ",Full TimeWork From HomeNot specified · Creative/Design/Art · Customer Service/Support · Media/Journalism/Publishing · Customer Service · Customer Care · Customer Support · English · Call Center · Marketing · Sales
,,,
Customer Service Representative,iSchool Limited -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Sales · Microsoft Office
,,,
International Account Advisor - Vodafone Ireland- (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
Customer Service Agent,Talents Mine Aggregated -,"Kuwait City, Kuwait ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Microsoft Office · English
,,,
German Customer Service Representative,Majorel Egypt -,"Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Support · Customer Care · Customer Relations · Communication · Typing · German · Deutsch · Kundendienst
,,,
CRM - Solutions Delivery Manager / IT Project Manager,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Sales/Retail · CRM · Sales · Sales Skills · Customer Service · Customer Support · Sales Target · Customer Care
,,,
Sales Trainer,ManpowerGroup Middle East -,"Dubai, United Arab Emirates ",Full TimeNot specified · Sales/Retail · Education/Teaching · Training/Instructor · Sales · Training · Sales Skills · Communication Skills · Sales Training · Trainer · Instructor
,,,
Guest Experience Expert (Rooms Controller),Talents Mine Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Customer Care · Customer Service · Customer Support · Call Center · Microsoft Office · Data Entry · Typing · Customer Experience · SOP
,,,
Customer Support Team Lead,Khazna Tech Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Care · Customer Service · Customer Support · Management · English · Microsoft Office · Sales
,,,
Technical Support Specialist - Real Time System,Baker Hughes Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Technical Support · Computer Science · Customer Service · Customer Support · Customer Care · Engineering
,,,
"Customer Care Vacancies at Vodafone UK (Cairo, Alex)",_VOIS Egypt -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · Customer Service/Support · Other · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support · Vodafone
,,,
Customer Care Specialist (Fluent English Speaker),Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail · Engineering - Telecom/Technology · Customer Care · Customer Service · Customer Support · Sales · Telecommunication · Telecom · Telesales
,,,
"Customer service representative (Excellent English speakers) Etisalat UAE,graduates",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · Customer Relations · Call Center · Custom Clearance · Customer Satisfaction · Customer Retention · Customer Service Management
,,,
(Work from Home) Call Center Advisor - VOIS Uk- Alexandria Residents,_VOIS Egypt -,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
Customer Service Representative Vodafone Ireland- (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
Call Center Advisor,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 0 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Support · Call Center · Communication · computer · Customer · Customer Care · Customer Service · English
,,,
People Operations & Personnel Executive,ROBUSTA Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Administration · Customer Service/Support · Operations/Management · People Management · Operations · Management · Microsoft Office · Customer Care · Customer Service · Customer Support
,,,
Call Center Advisor,CODPARTNER -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 0 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · Call Center · Sales · Sales Target · Outbound Calls · English
,,,
"Customer Service Advisor for A Corporate Account (English Queue), Etisalat UAE Project",Confidential -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Banking · Customer Service/Support · Sales/Retail · Customer Care · Customer Service · Customer Support · Medical · sales skills · Training · VPN
,,,
Guest Service Officer,Accor Hotels Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Hospitality/Hotels/Food Services · Customer Care · Customer Service · Customer Support · Microsoft Office · Administration · Communication Skills · Finance
,,,
Team Leader - Technical Library,Riyadh Air -,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Sales Target · Computer Science · Customer Service · Real Estate
,,,
"Guest Experience Expert - Four Points by Sheraton Sheikh Zayed Road, Dubai","Marriott International, Inc. -","Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Customer Care · Customer Service · Customer Support · Call Center · Microsoft Office · Data Entry · Typing · Customer Experience · SOP
,,,
Telesales Agent,Ellithy Group -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail · Call Center · Communication · Customer · Customer Service · Sales · sales skills · Telesales
,,,
Service Advisor,Al Futtaim Group Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Sales/Retail · Engineering - Mechanical/Electrical · Customer Service · Customer Care · Customer Support · Call Center · Sales · Sales Skills · Microsoft Office
,,,
Immediate Hiring - Call Center Advisor - VOIS UK - Cairo\Giza Residents,_VOIS Egypt -,"6th of October, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
Back Office Executive,cartier Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Care · Customer Support · Administration · Microsoft Office · Office Management · Secretary
,,,
Transition Management Analyst,Pepsico Aggregated -,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Project/Program Management · Analyst/Research · Information Technology (IT) · Project Management · Analysis · Computer Science · Management · PMP · Software Development
,,,
customer service & Receptionist,Zahrawi Group Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Sales · Sales Skills · Sales Target · Call Center
,,,
Customer Service Representative for Vodafone Ireland- (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
Operations Team Leader,Partners for Growth -,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Sales Target · Information Technology (IT) · Customer Service · Computer Science · Real Estate
,,,
Recruitment Specialist with German,IBM WTC Egypt -,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · Human Resources · Training/Instructor · Recruitment · Human Resources (HR) · Interviewing · Microsoft Office · Screening · Sourcing · Hiring
,,,
People Experience Specialist,Partners for Growth -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Administration · Customer Service/Support · Human Resources · Human Resources (HR) · Recruitment · Interviewing · Customer Service · Screening · Customer Care · Customer Support
,,,
French agent,Concentrix + Webhelp -,"Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · Customer Service/Support · french · Call Center · Sales
,,,
Back Office Agent(Mail&Chat)English Account Etisalat UAE..,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Tourism/Travel · Customer Care · Customer Service · Customer Support · Microsoft Office · Call Center · Customer Relations · Customer Satisfaction
,,,
Customer service representative (( Mail & Chat English Account - Etisalat UAE.))),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Operations/Management · Sales/Retail · Customer Care · Customer Service · Customer Support · Sales · interpersonal · Experience · English Teaching
,,,
Project Management Team Leader,Hitachi Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Customer Service/Support · Operations/Management · Project/Program Management · Project Management · Customer Service · Management · Communication Skills · Customer Support · Microsoft Office · Customer Care
,,,
Customer Service Coordinator,John Crane Aggregated -,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Microsoft Office · Sales
,,,
Non-voice(Mail&Chat)B2 English speakers/Graduates,Etisalat Egypt -,"Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · Customer Care · Customer Service · Customer Support · Customer Relations · Custom Clearance · Call Center
,,,
BI Reporting Analyst,Vodafone - Egypt Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · Finance · Accounting · Computer Science · Reporting · Financial Analysis · Power BI
,,,
Turkish/English Customer Service Representative,Teleperformance - United Arab Emirates -,"Cairo, Egypt ",Full TimeNot specified · Administration · Customer Service/Support · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Communication Skills · Microsoft Office · Computer Skills
,,,
Back Office Agent(chat&Mail)b2 English speakers,Etisalat Egypt -,"Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Tourism/Travel · Customer Care · Customer Service · Customer Support · Microsoft Office · Customer Relations · Customer Satisfaction · Customer Retention
,,,
Non-Voice(Mail&Chat)English Account Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · Customer Care · Customer Service · Customer Support · Customer Relations · Customer Satisfaction · English Teaching
,,,
"Customer Care Vacancies at Vodafone UK/IE (Cairo, Alex)",_VOIS Egypt -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · Customer Service/Support · Other · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support · Vodafone
,,,
Vodafone Ireland - Customer Service Representative - (WFH opportunity),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · English · Fluency in English · Customer Relations · Call Center · Career Development · Contact Center
,,,
Back Office Agent(Mail&Chat)English Account Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Tourism/Travel · Customer Care · Customer Service · Customer Support · Microsoft Office · Call Center · English Teaching · English Training
,,,
Customer service representative (Chat&Mail) B2 English speakers Etisalat UAE..,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Operations/Management · Sales/Retail · Customer Care · Customer Service · Customer Support · Interpersonal skills · Experience · English · interpersonal
,,,
Customer Care (Fluent English ),Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail · Engineering - Telecom/Technology · Customer Care · Customer Service · Customer Support · Sales · Telecommunication · Telecom · Telesales
,,,
Guest Services Agent,Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Sales/Retail · Tourism/Travel · Customer Service · Customer Care · Customer Support · Call Center · Communication Skills · English · Sales
,,,
Customer Relationship Officer,ADCB Abu Dhabi Commercial Bank -,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Customer Service · Customer Care · Customer Support · Microsoft Office · Sales · Call Center · CRM
,,,
English Customer service representative,Majorel Egypt -,"Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Care · Customer Support · Customer Service · English · Call Center
,,,
First waves - English Customer Service Representative,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Other · Call Center · CS · Customer · Customer Care · Customer Service · Customer Support · Customer Retention · English
,,,
Quality Assurance Specialist,Huhtamaki Aggregated -,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Quality · QA · QC · Engineering · Science
,,,
_VOIS - IE & UK Account - Customer Care Consultant - Work From home,_VOIS Egypt -,"Cairo, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English · Communication skills · Call Centre · Communication · c1
,,,
VOIS - UK Account - Alex Residents - Customer Care Specialist - Work from Home,_VOIS Egypt -,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English · Communication skills · Call Centre · Communication · c1
,,,
Medical Personal Assistant - English Speaker,London International Patient Services -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Medical/Healthcare · Adminsrition · Customer Services · Customer Care · Customer Support · Medical · English · Call Centre
,,,
Customer service representative/mail&chat/excellent English speakers (Etisalat UAE).,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 7 Yrs of Exp · Customer Service/Support · Customer Service · Customer Support · Customer Care · Call Center · Technical Support · Customer Relations · Customer Satisfaction · Customer Retention · Customer Service Management
,,,
Telesales Executive,DHL Aggregated -,"Cairo, Egypt ",Full TimeNot specified · Business Development · Customer Service/Support · Sales/Retail · Customer Service · Sales · Sales Skills · Telesales · Customer Care · Customer Support · Sales Target
,,,
English Customer Care Advisors ( Call Center),Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Customer Support · Customer Service · Technical Support
,,,
Legal Consultant,SSC Aggregated -,"Riyadh, Saudi Arabia ",Full TimeNot specified · Administration · Legal · Operations/Management · Legal · Law · Legal Consultant · English · Legal Affairs · Attorney · Call Center
,,,
Italian Chat Support,Intelcia  -,"Giza, Egypt ",Full TimeEntry Level · 1 - 6 Yrs of Exp · Customer Service/Support · Call Center · Customer Care · Customer Service · Customer Support · Italian · Italian Speaker
,,,
Receptionist,High Art -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Real Estate · Admin
,,,
Senior Sales Admin - Real Estate - Giza,Roots Development -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Human Resources · Operations/Management · Sales · Real Estate · sales skills · Call Center · Sales Target · CRM · English Teaching
,,,
Customer service representative/excellent English speakers (mail&chat)Graduates.,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Call Center · customer service representative · Customer Relations · Customer Satisfaction · Customer Retention · Customer Service Management
,,,
Customer Success Manager,Track24 Limited -,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Care · Customer Support · Management · Sales · Call Center · Sales Skills
,,,
Non-Voice(Mail&Chat) B2 English Speakers Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · Customer Care · Customer Service · Customer Support · Customer Relations · Customer Satisfaction · Customer Retention
,,,
Customer service representative Non-Voice(Mail&Chat)English Account,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Sales/Retail · Customer Care · Customer Service · Customer Support · Experience · Sales · Microsoft Office · Customer Relations
,,,
Back Office Agent (Chat&Mail) English Account Etisalat UAE..,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Administration · Customer Service/Support · Tourism/Travel · Customer Care · Customer Service · Customer Support · Microsoft Office · Business Administration · Commerce · English Teaching
,,,
Backoffice-mail&chat- English account (Etisalat UAE)Graduates,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 7 Yrs of Exp · Customer Service/Support · Call Center · Customer Care · Customer Service · Customer Support · Technical Support · Customer Relations · Customer Satisfaction · Customer Retention · Customer Service Management
,,,
